[2025-07-04 00:59:55] [PERFORMANCE] Performance: page_load (169.50511932373ms) | action: page_load | duration_ms: 169.50511932373 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751590795759_2nwa5nm1m
[2025-07-04 00:59:58] [PERFORMANCE] Performance: page_load (189.53394889832ms) | action: page_load | duration_ms: 189.53394889832 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:59:59] [PERFORMANCE] Performance: page_load (170.60494422913ms) | action: page_load | duration_ms: 170.60494422913 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751590799394_9m535xcoq
[2025-07-04 01:01:14] [PERFORMANCE] Performance: page_load (225.15606880188ms) | action: page_load | duration_ms: 225.15606880188 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 01:01:15] [PERFORMANCE] Performance: page_load (182.77311325073ms) | action: page_load | duration_ms: 182.77311325073 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751590875627_wd6v6aydi
[2025-07-04 01:02:20] [PERFORMANCE] Performance: page_load (158.20813179016ms) | action: page_load | duration_ms: 158.20813179016 | user_id: 0 | ip: 51.68.111.203 | url: https://zippicks.com/robots.txt
[2025-07-04 01:02:20] [PERFORMANCE] Performance: page_load (193.37892532349ms) | action: page_load | duration_ms: 193.37892532349 | user_id: 0 | ip: 51.68.111.203 | url: https://zippicks.com/
[2025-07-04 01:02:49] [PERFORMANCE] Performance: page_load (163.45620155334ms) | action: page_load | duration_ms: 163.45620155334 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 01:02:50] [PERFORMANCE] Performance: page_load (210.40892601013ms) | action: page_load | duration_ms: 210.40892601013 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751590970540_lbdlhnzcf
[2025-07-04 01:03:17] [PERFORMANCE] Performance: page_load (180.73391914368ms) | action: page_load | duration_ms: 180.73391914368 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 01:05:28] [PERFORMANCE] Performance: page_load (180.22894859314ms) | action: page_load | duration_ms: 180.22894859314 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 01:05:30] [PERFORMANCE] Performance: page_load (158.49280357361ms) | action: page_load | duration_ms: 158.49280357361 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751591129736_jm21xriol
[2025-07-04 01:05:30] [PERFORMANCE] Performance: page_load (182.13486671448ms) | action: page_load | duration_ms: 182.13486671448 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 01:05:32] [PERFORMANCE] Performance: page_load (184.67712402344ms) | action: page_load | duration_ms: 184.67712402344 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751591131924_jzht5uv1u
[2025-07-04 01:06:39] [PERFORMANCE] Performance: page_load (219.22302246094ms) | action: page_load | duration_ms: 219.22302246094 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 01:06:41] [PERFORMANCE] Performance: page_load (193.57585906982ms) | action: page_load | duration_ms: 193.57585906982 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751591200896_6lkgjq80j
[2025-07-04 01:08:17] [PERFORMANCE] Performance: page_load (167.4439907074ms) | action: page_load | duration_ms: 167.4439907074 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
